Author ID,Date Created,Number of Likes,Number of Replies,Source of Tweet,Tweet
1141684914,2024-11-19 09:49:25+00:00,0,1,,Ini emang sesuah itu ya nyari ojek online klo sehabis hujan?? Di jogja lho ini
1812046665832091648,2024-11-19 09:45:59+00:00,0,0,,@Princeeoff Jogja ujan
3192553326,2024-11-19 09:43:09+00:00,0,0,,"RT @staklim_jogja: Haloo sobat BMKG Jogja,
Berikut informasi hujan 3 bulanan Daerah Istimewa Yogyakarta Update Bulan November 2024

#InfoIk…"
1646007198500401152,2024-11-19 09:40:13+00:00,0,1,,@mas_matth Jogja juga hujan mass plis🙂‍↔️
1555052931056996352,2024-11-19 09:40:05+00:00,0,0,,@gadismungil__ jogja jg hujan
1726297419758141440,2024-11-19 09:35:45+00:00,0,0,,"Jogja lgii Hujan mulu, kira kira hujan kayak gini , enk nya mkn apa 😋🤤 #jogja #infomakan #jogjahujan #bakso #seblak #soto"
1229680348356702208,2024-11-19 09:35:38+00:00,0,0,,Apa iku romantisasi hujan di jogja?? Yang ada kalau hujan macet doang busett😀
1476166781358067715,2024-11-19 09:35:04+00:00,0,0,,tiap ke jogja pasti ujan anying https://t.co/3VxKxnwTJn
1405133130386739204,2024-11-19 09:32:47+00:00,0,0,,"ujan aja terus jogja, ujanlah"
3266779819,2024-11-19 09:30:52+00:00,0,1,,"@jhaehyuniie kita beda domisili yaa 🫵🏻 mau di jogja hujan seharian sampe air matamu tuh asat juga terserah, yang penting di aku terang 😭"
1303235879519965184,2024-11-19 09:27:38+00:00,0,1,,@hzlmacch bagian Jogja ujan
1421993232452382721,2024-11-19 09:24:01+00:00,1,0,,@mba_bunda Jogja hujan bu
200451440,2024-11-19 09:21:01+00:00,0,0,,"RT @Topmassage9: Jogja bagian mana yang hujan?.

Bagian paling ikhlas melepasmu.🥲 https://t.co/iVomn1qxxv"
3285076602,2024-11-19 09:16:15+00:00,0,0,,"RT @fluffygirl1199: sehat-sehat ya semua, jogja lagi hujan terus tiati sakit flu, minum air putih banyak-banyak yaa🫶🏻✨"
