datetime,temp,dew,humidity,precip,precipprob,preciptype,snowdepth,winddir,cloudcover,conditions
2024-11-16 07:00:00,24.6,22.6,88.64,0.3,100.0,rain,0,277.5,91.6,"Rain, Overcast"
2024-11-16 08:00:00,24.3,22.6,90.25,0.3,100.0,rain,0,280.2,95.4,"Rain, Overcast"
2024-11-16 09:00:00,24.4,22.4,88.63,0.0,0.0,,0,271.4,98.9,Overcast
2024-11-16 10:00:00,24.3,22.6,90.25,0.3,100.0,rain,0,259.1,99.8,"Rain, Overcast"
2024-11-16 11:00:00,23.9,22.6,92.44,1.7,100.0,rain,0,278.0,100.0,"Rain, Overcast"
2024-11-16 12:00:00,23.4,22.7,95.85,3.2,100.0,rain,0,282.6,100.0,"Rain, Overcast"
2024-11-16 13:00:00,23.6,22.6,94.13,1.0,100.0,rain,0,262.5,100.0,"Rain, Overcast"
2024-11-16 14:00:00,24.7,22.6,88.12,0.0,0.0,,0,266.9,100.0,Overcast
2024-11-16 15:00:00,25.7,22.7,83.53,0.0,0.0,,0,236.0,100.0,Overcast
2024-11-16 16:00:00,27.6,22.9,75.59,0.0,0.0,,0,210.1,91.0,Overcast
2024-11-16 17:00:00,29.3,22.9,68.48,0.1,100.0,rain,0,206.3,100.0,"Rain, Overcast"
2024-11-16 18:00:00,30.3,22.7,63.87,0.2,100.0,rain,0,202.2,98.4,"Rain, Overcast"
2024-11-16 19:00:00,30.9,22.7,61.71,0.8,100.0,rain,0,211.0,92.4,"Rain, Overcast"
2024-11-16 20:00:00,30.8,22.7,62.07,1.3,100.0,rain,0,188.6,98.2,"Rain, Overcast"
2024-11-16 21:00:00,30.4,22.8,63.89,0.0,0.0,rain,0,202.6,70.2,Partially cloudy
2024-11-16 22:00:00,29.5,23.1,68.52,2.3,100.0,rain,0,196.0,98.3,"Rain, Overcast"
2024-11-16 23:00:00,28.4,23.1,73.02,2.8,100.0,rain,0,176.3,100.0,"Rain, Overcast"
2024-11-17 00:00:00,27.2,23.6,80.73,2.0,100.0,rain,0,207.4,100.0,"Rain, Overcast"
2024-11-17 01:00:00,25.7,23.0,85.06,2.2,100.0,rain,0,222.0,100.0,"Rain, Overcast"
2024-11-17 02:00:00,25.8,22.8,83.54,1.3,100.0,rain,0,307.2,100.0,"Rain, Overcast"
2024-11-17 03:00:00,25.2,22.8,86.57,0.0,0.0,rain,0,18.3,98.3,Overcast
2024-11-17 04:00:00,25.3,22.8,86.06,0.8,100.0,rain,0,12.5,100.0,"Rain, Overcast"
2024-11-17 05:00:00,25.3,22.9,86.58,0.0,0.0,,0,8.0,100.0,Overcast
2024-11-17 06:00:00,25.0,22.7,87.08,0.0,0.0,,0,11.9,100.0,Overcast
2024-11-17 07:00:00,24.8,22.7,88.12,0.0,0.0,,0,131.7,84.1,Partially cloudy
2024-11-17 08:00:00,24.3,22.6,90.25,0.0,0.0,,0,220.4,92.0,Overcast
2024-11-17 09:00:00,24.1,22.5,90.79,0.0,0.0,,0,287.2,100.0,Overcast
2024-11-17 10:00:00,23.9,22.4,91.33,0.0,0.0,,0,275.4,98.5,Overcast
2024-11-17 11:00:00,23.8,22.3,91.32,0.0,0.0,,0,331.8,99.0,Overcast
2024-11-17 12:00:00,23.7,22.2,91.32,0.0,0.0,,0,16.4,38.6,Partially cloudy
2024-11-17 13:00:00,24.7,22.4,87.05,0.0,0.0,,0,57.3,32.3,Partially cloudy
2024-11-17 14:00:00,26.2,22.5,80.11,0.0,0.0,,0,78.6,24.0,Partially cloudy
2024-11-17 15:00:00,27.8,22.6,73.37,0.0,0.0,,0,72.7,12.9,Clear
2024-11-17 16:00:00,29.6,22.4,65.29,0.0,0.0,,0,73.1,41.6,Partially cloudy
2024-11-17 17:00:00,30.9,21.7,58.07,0.1,100.0,rain,0,77.9,80.8,"Rain, Partially cloudy"
2024-11-17 18:00:00,31.7,21.5,54.81,0.2,100.0,rain,0,75.4,98.2,"Rain, Overcast"
2024-11-17 19:00:00,32.4,21.4,52.35,0.0,0.0,,0,76.1,88.5,Partially cloudy
2024-11-17 20:00:00,32.9,21.2,50.28,0.1,100.0,rain,0,75.1,75.0,"Rain, Partially cloudy"
2024-11-17 21:00:00,31.6,21.4,54.78,0.0,0.0,,0,55.2,75.8,Partially cloudy
2024-11-17 22:00:00,30.3,21.8,60.46,0.9,100.0,rain,0,259.4,98.6,"Rain, Overcast"
2024-11-17 23:00:00,26.3,23.0,82.09,0.9,100.0,rain,0,243.3,100.0,"Rain, Overcast"
2024-11-18 00:00:00,26.1,23.1,83.57,1.0,100.0,rain,0,238.5,91.2,"Rain, Overcast"
2024-11-18 01:00:00,25.5,23.0,86.07,0.3,100.0,rain,0,257.5,44.7,"Rain, Partially cloudy"
2024-11-18 02:00:00,25.3,23.0,87.1,0.1,100.0,rain,0,256.5,90.0,"Rain, Partially cloudy"
2024-11-18 03:00:00,25.1,22.9,87.62,0.0,0.0,,0,275.3,100.0,Overcast
2024-11-18 04:00:00,25.0,22.7,87.08,0.0,0.0,,0,292.8,93.3,Overcast
2024-11-18 05:00:00,24.9,22.5,86.54,0.0,0.0,,0,315.2,81.3,Partially cloudy
2024-11-18 06:00:00,24.7,22.4,87.05,0.0,0.0,,0,19.9,34.3,Partially cloudy
2024-11-18 07:00:00,24.5,22.2,87.03,0.0,0.0,,0,31.1,13.6,Clear
2024-11-18 08:00:00,24.2,22.2,88.61,0.0,0.0,,0,51.4,70.9,Partially cloudy
2024-11-18 09:00:00,24.0,22.2,89.68,0.0,0.0,,0,56.9,69.8,Partially cloudy
2024-11-18 10:00:00,23.9,22.0,89.13,0.0,0.0,,0,42.5,81.1,Partially cloudy
2024-11-18 11:00:00,23.8,21.9,89.12,0.0,0.0,,0,28.6,98.8,Overcast
2024-11-18 12:00:00,23.7,21.6,88.03,0.0,0.0,,0,38.1,100.0,Overcast
2024-11-18 13:00:00,24.6,21.8,84.43,0.0,0.0,,0,55.2,100.0,Overcast
2024-11-18 14:00:00,26.2,21.8,76.76,0.0,0.0,,0,74.1,99.7,Overcast
2024-11-18 15:00:00,27.8,22.0,70.73,0.0,0.0,,0,75.4,99.9,Overcast
